product_id;stock;price;disc;image1;image2;image3;image3;image4;name;desc_full;desc_short;p_meta_title.ru;cat1;cat2;cat3;cat4;cat5;cat1_id;cat2_id;cat3_id;cat4_id;cat5_id
7c57e4a6-2c60-4814-b094-877b2675cf5a;10;60.00;100.0000;92-162-thickbox.jpg;92-163-thickbox.jpg;;;;Блинница Ariete Baby 181;<p>Мощность 900 Вт. Индикатор температуры. Контейнер для теста. Готовым блинчикам можно придать форму Микки Мауса специальной формочкой.</p>;<p>Мощность 900 Вт. Индикатор температуры. Контейнер для теста. Готовым блинчикам можно придать форму Микки Мауса специальной формочкой.</p>;;Бытовая техника для кухни;;;;;a47577e0-f9bd-42dc-881d-b2e9e2ad040f
063d3f5a-d3b4-4e62-b707-69c6ffb2e72a;10;35.00;100.0000;93-164-thickbox.jpg;;;;;Аппарат для пончиков Daewoo DI 8102;<p>Аппарат предназначен для приготовления пончиков традиционной (кольцеобразной) формы. Индикатор включения и готовности. Антипригарное покрытие. Регулировка температуры.</p>;<p>Аппарат предназначен для приготовления пончиков традиционной (кольцеобразной) формы.</p>;;Бытовая техника для кухни;;;;;a47577e0-f9bd-42dc-881d-b2e9e2ad040f
db3ec212-4559-4318-b0fb-e2e67ba726a5;10;483.00;100.0000;94-165-thickbox.jpg;94-166-thickbox.jpg;94-167-thickbox.jpg;94-169-thickbox.jpg;94-170-thickbox.jpg;Автокресло Bebe Confort Opal;<p>Автокресло с поворотным сиденьем для более продолжительного использования. Переустановка положений происходит одним движением руки, вращением автокресла на своем основании. Сиденье подходит для двух групп: 0+ - спиной к дороге и 1 - лицом к дороге. Боковая защита Safe Side предохраняет голову малыша при боковых столкновениях. Внутренние 5-точечные ремни безопасности быстро и удобно регулируются по росту ребенка. Размеры: ширина регулируется от 40 до 50 см. Высота регулируется от 60 до 76 см. Варианты цвета: Total Black, Intense Red, Deep Blue, Brown Earth, Steel Gray, Marble Pink, Dark Olive.</p>;<p>Автокресло с поворотным сиденьем для более продолжительного использования.</p>;;Детские товары;;;;;fc5cbe0e-fbf5-4d6e-9b7c-cc7e6c5da530
afaf8dc7-b656-4dd6-a956-fddb90d86783;10;348.00;100.0000;95-172-thickbox.jpg;;;;;Детские качели GRACO Sweetpeace;<p>Детские качели для детей с рождения. Качели копируют движение при укачивании ребёнка на руках (в трёх разных направлениях), три положения спинки, 6 скоростей, съёмное сидение, набор различных мелодий и возможность подключения МР3 плеера, две скорости вибрации, ремни безопасности, регулируемый капор.</p>;<p>Детские качели для детей с рождения.</p>;;Детские товары;;;;;fc5cbe0e-fbf5-4d6e-9b7c-cc7e6c5da530
9424582d-c3f9-4d9b-9afb-c6eb5220066c;10;350.00;100.0000;96-173-thickbox.jpg;;;;;Цифровой видеомонитор Philips AVENT SCD60000;<p>Автоматический выбор канала для конфиденциального соединения. Система инфракрасного ночного видения для круглосуточного наблюдения. Успокаивающие колыбельные и ночник. Высокое разрешение, цветной экран 61 мм. Беспроводной портативный родительский блок. Цифровое подтверждение сигнала и световая индикация уровня звука. Автоматическое включение экрана с регуляторами яркости и звука. Родительский блок на аккумуляторах. Диапазон действия: 150 м. Клипса для крепления к поясу.</p>;<p>Автоматический выбор канала для конфиденциального соединения.</p>;;Детские товары;;;;;fc5cbe0e-fbf5-4d6e-9b7c-cc7e6c5da530
b7272df8-ca35-48d8-a158-8be5f037be42;10;306.00;100.0000;97-174-thickbox.jpg;97-175-thickbox.jpg;97-177-thickbox.jpg;97-178-thickbox.jpg;;Стульчик для кормления Peg-Perego Prima Pappa Best;<p>Стульчик раcсчитан на малыша до трех лет. Моющееся сидение изготовлено из кожа заменителя, корпус пластмассовый, регулируемая подножка, стопора на колесах, большая устойчивость. Пятиточечные ремни безопасности и анатомическая вставка для разделения ног удерживают ребенка в надежном и безопасном положении.</p>;<p>Стульчик раcсчитан на малыша до трех лет.</p>;;Детские товары;;;;;fc5cbe0e-fbf5-4d6e-9b7c-cc7e6c5da530
cc9a29fe-aa13-448e-adca-17632e947806;10;134.00;100.0000;98-179-thickbox.jpg;;;;;Гладильная доска Metalnova Domino Plus;<p>Компактная, устойчивая гладильная доска с регулировкой высоты гладильной платформы до восьми положений. Имеет твердую гладильную платформу из огнеупорного материала, на которую одевается влагоустойчивый и жаропрочный чехол. Ножки выполнены из хромированного металла. Рабочая поверхность: 114x36 см. Подставка для утюга. Вес:7 кг.</p>;<p>Компактная, устойчивая гладильная доска с регулировкой высоты гладильной платформы до восьми положений.</p>;;Мебель и интерьер;;;;;c87c5e3f-e372-4058-9e78-a2a455fffc5a
7bd72006-04f4-4f9d-9764-675223fadac6;10;151.00;100.0000;99-180-thickbox.jpg;;;;;Лампы АРО Голден S;<p>Лампы АРО Голден S. Отличное решение для создания непринужденной и уютной обстановки в Вашем доме. Размеры: Большой лампы (L): Высота - 143 см. Диаметр - 29 см Средней лампы (M): Высота - 115 см. Диаметр - 29 см Маленькой лампы (S): Высота - 83 см. Диаметр - 26 см Страна-производитель: Индонезия</p>;<p>Лампы АРО Голден S. Отличное решение для создания непринужденной и уютной обстановки в Вашем доме.</p>;;Мебель и интерьер;;;;;c87c5e3f-e372-4058-9e78-a2a455fffc5a
0a2932f5-e479-4c2e-8c87-fe347e16a3b0;10;123.00;100.0000;100-181-thickbox.jpg;;;;;Детектор проводки Bosch PDO Multi;<p>Цифровой детектор для обнаружения и локализации проводки, металлов (включая цветные) и деревянных внутренних конструкций. Функция «Zoom». Дисплей с высоким разрешением. Однозначное запрещение/разрешение сверления с помощью светодиодного индикатора. Автоматическая калибровка.</p>;<p>Цифровой детектор для обнаружения и локализации проводки, металлов (включая цветные) и деревянных внутренних конструкций. Функция «Zoom».</p>;;Строительные инструменты;;;;;07bda187-ebc4-4614-b13a-91941cf3581d
19fa418d-c2e7-4867-a368-c507b33fd5c0;10;285.00;100.0000;101-182-thickbox.jpg;101-183-thickbox.jpg;101-184-thickbox.jpg;101-185-thickbox.jpg;;Оптический нивелир Bosch GOL 20 D Professional;<p>Оптический нивелир с точность нивелирования 3 мм на 30 м. Рабочий диапазон: до 60 м. Оптимально подходит для использования вне помещений благодаря прочному корпусу с защитой от пыли и брызг IP 54. Светосильный объектив для чёткого захвата цели. Пентапризма для удобства считывания показаний сферического уровня. Коллиматор для грубого выравнивания. Вертикальное изображение. Большая кнопка фокусировки для простого выравнивания.Бесконечный микрометренный привод (измерение в гонах) с проскальзывающей муфтой.</p>;<p>Оптический нивелир с точность нивелирования 3 мм на 30 м. Рабочий диапазон: до 60 м.</p>;;Строительные инструменты;;;;;07bda187-ebc4-4614-b13a-91941cf3581d
7b174739-1f93-435d-b688-1ea25c9cf5ae;10;220.00;100.0000;102-186-thickbox.jpg;;;;;Краскораспылитель Bosch PFS 105 E;<p>Системы тонкого распыления с электронной регулировкой расхода воздуха для обработки больших объектов. Потребляемая мощность 350 Вт. Система плавной регулировки расхода краски. Сопло для распыления краски с 3 положениями. Рукоятка с мягкой накладкой. Длина шланга: 3.4 м.</p>;<p>Системы тонкого распыления с электронной регулировкой расхода воздуха для обработки больших объектов.</p>;;Строительные инструменты;;;;;07bda187-ebc4-4614-b13a-91941cf3581d
22670766-1ea5-43a4-9035-1603a354cf63;10;290.00;100.0000;103-187-thickbox.jpg;;;;;Высечные ножницы Bosch GNA 16 (SDS) Professional;<p>Изящная, узкая конструкция для оптимального удобства в обращении. Используется для внутренних вырезов. Свободная работа по разметке и шаблону. Фиксируемая матрица для прямых прорезов, замена пуансона и матрицы без инструмента (система SDS). Легкосменные режущие инструменты.</p>;<p>Изящная, узкая конструкция для оптимального удобства в обращении.</p>;;Строительные инструменты;;;;;07bda187-ebc4-4614-b13a-91941cf3581d
4f47e71f-cd36-4999-aef6-26ffc1a44b7d;10;1135.00;100.0000;104-188-thickbox.jpg;;;;;Перфоратор AEG PN 11 E;<p>Эффективен при работе массивной оснасткой. Бурение отверстий большого диаметра на большую глубину доступно только машинам этого класса. Высокая энергия удара позволяет без труда и быстро разрушать конструкции из бетона. Анти вибрационная система AVS. Прорезиненная накладка Softgrip на рукоятках. Сила удара 27.0 Дж. Комплектуется кейсом.</p>;<p>Эффективен при работе массивной оснасткой. Бурение отверстий большого диаметра на большую глубину доступно только машинам этого класса.</p>;;Строительные инструменты;;;;;07bda187-ebc4-4614-b13a-91941cf3581d
1deb71a0-9db0-4911-898a-945cc6e9db1e;10;364.00;100.0000;105-189-thickbox.jpg;;;;;VoIP-телефон Linksys SPA962;<p>VoIP-телефон обладает широким набором функциональных возможностей, как телефонных, так и сетевых. Стильный дизайн и высокая функциональность аппарата делают его использование чрезвычайно эффективным в гибкой среде IP-телефонии, IP УАТС или крупных IP call-центрах. Комплектация аппарата включает в себя: поддержку 6 активных каналов, dual switched Ethernet ports, поддержку 802.3 c питанием от свитча (PoE -Power of the Ethernet, это означает, что телефон питается от сети Ethernet), цветной дисплей с высоким разрешением, динамик, и 2.5 мм разъем для гарнитуры. Каждый канал телефонного аппарата может быть настроен на работу либо с несколькими различными номерами, либо с одним, но многоканальным номером.</p>;<p>VoIP-телефон обладает широким набором функциональных возможностей, как телефонных, так и сетевых.</p>;;Телефония;;;;;604c397e-c05f-480b-8bd0-3fbbe42e648e
b9acdf28-4bf3-4644-b4f0-5ddb14268f99;10;1965.00;100.0000;106-190-thickbox.jpg;106-191-thickbox.jpg;106-192-thickbox.jpg;106-195-thickbox.jpg;106-193-thickbox.jpg;Мобильный телефон Porsche Design P'9521;<p>Корпус изготовлен из алюминия. Верхнюю крышку можно поворачивать в разные стороны. Сеть: GSM / EDGE (850 / 900 / 1800 / 1900 МГц). Камера: 3.2 мегапикселя, автофокус, вспышка. Дисплей: AMOLED, 2.2 дюйма, 320 х 240 точек. USB 1.1. Bluetooth 1.2, A2DP, AVRCP. Считыватель отпечатков пальцев.</p>;<p>Корпус изготовлен из алюминия. Верхнюю крышку можно поворачивать в разные стороны.</p>;;Телефония;;;;;604c397e-c05f-480b-8bd0-3fbbe42e648e
